task_id	harness	condition	scientific_gate	harness_gate	execution_status	reset_required	blocking_reason
ls09-opentrons-sop	duanyan	T0	fail	not_checked	blocked	true	Opentrons 7.1.0 contract pinned; identical harness provisioning and real-simulator 3-of-3 acceptance pending
ls09-opentrons-sop	duanyan	T1	fail	not_checked	blocked	true	Opentrons 7.1.0 contract pinned; identical harness provisioning and real-simulator 3-of-3 acceptance pending
ls09-opentrons-sop	duanyan	T2	fail	not_checked	blocked	true	Opentrons 7.1.0 contract pinned; identical harness provisioning and real-simulator 3-of-3 acceptance pending
ls09-plate-dilution-recovery	codex	C0	pass	not_checked	not_started	true	Current macOS Codex independent-session/workspace/inventory/reset preflight not yet recorded
ls09-plate-dilution-recovery	duanyan	T0	pass	not_checked	not_started	true	No 2026-08-16 Duanyan T0 UI/API inventory/reset smoke record
ls09-plate-dilution-recovery	duanyan	T1	pass	not_checked	not_started	true	No 2026-08-16 Duanyan T1 catalog discovery/install/call/reset smoke record
ls09-plate-dilution-recovery	duanyan	T2	pass	not_checked	not_started	true	No 2026-08-16 Duanyan T2 MCP enable/call/reset smoke record
ls10-neun-power-analysis	codex	C0	pass	not_checked	not_started	true	Current macOS Codex independent-session/workspace/inventory/reset preflight not yet recorded
ls10-neun-power-analysis	duanyan	T0	pass	not_checked	not_started	true	No 2026-08-16 Duanyan T0 UI/API inventory/reset smoke record
ls10-neun-power-analysis	duanyan	T1	pass	not_checked	not_started	true	No 2026-08-16 Duanyan T1 catalog discovery/install/call/reset smoke record
ls10-neun-power-analysis	duanyan	T2	pass	not_checked	not_started	true	No 2026-08-16 Duanyan T2 MCP enable/call/reset smoke record
ls10-treatment-response-model	codex	C0	pass	not_checked	not_started	true	Current macOS Codex independent-session/workspace/inventory/reset preflight not yet recorded
ls10-treatment-response-model	duanyan	T0	pass	not_checked	not_started	true	No 2026-08-16 Duanyan T0 UI/API inventory/reset smoke record
ls10-treatment-response-model	duanyan	T1	pass	not_checked	not_started	true	No 2026-08-16 Duanyan T1 catalog discovery/install/call/reset smoke record
ls10-treatment-response-model	duanyan	T2	pass	not_checked	not_started	true	No 2026-08-16 Duanyan T2 MCP enable/call/reset smoke record
